imdbId,tvdbId,tmdbId
tt0764269,215222,89168
tt0274895,250989,476109
tt13249520,,931310
tt0058463,,488590
tt13362258,,880531
tt12689628,,1035475
tt1268937,212374,49174
tt2474276,,469927
tt28856666,,1171606
tt3682070,,436404
tt0206307,210193,258249
tt0223122,,1239612
tt6239988,287265,443312
tt0224230,,851941
tt32055801,,1219596
tt31491120,,1253462
tt0280994,,162630
tt0373193,,135800
tt1295084,,240825
tt24853216,,1132471
tt33349109,,1531143
tt19856842,,1270790
tt0000272,36332,154171
tt0000663,206605,382978
tt0338768,62034,51939
tt2078661,271231,275201
tt0003863,76181,22879
tt0094363,,244690
tt0347840,,44351
tt0036829,87570,220665
tt0248880,219511,175715
tt0134127,200311,147391
tt0036154,11347,27040
tt0001014,56111,194046
tt8870896,,325414
tt0064493,58794,42606
tt0344503,220798,194819
tt0001481,,400571
tt0425756,,162443
tt0367672,176745,68374
tt0058172,103177,290991
tt0012347,145136,107290
tt0000644,,372737
tt0226083,,106038
tt0224286,,122036
tt0276962,220486,190802
tt0014293,145158,491003
tt0085448,57443,126597
tt1316458,219408,174219
tt0311119,,980038
tt1029374,76334,161554
tt0338127,,940936
tt0063833,,19009
tt0069379,231543,243371
tt0224131,,161245
tt0038379,34878,240406
tt0002234,,1201731
tt1870326,151936,164337
tt0311676,,72220
tt0254399,,939948
tt0123970,40109,32535
tt0234140,247157,343370
tt0003093,,939131
tt0120193,,54818
tt1612590,82138,184342
tt0295663,,183323
tt0035549,82405,116063
tt0000613,,206738
tt0272170,164844,1722182
tt0003707,,929862
tt0001034,,928070
tt0050403,229778,243162
tt2006762,,240162
tt1998355,74822,200942
tt0006813,,227248
tt0449379,107005,128360
tt0218926,,1151107
tt2088025,,123602
tt0148447,,424010
tt1534544,,947331
tt0002080,,397336
tt0002196,,419906
tt0126815,80790,159075
tt0165297,71105,36228
tt1492704,93458,330392
tt0364409,,192304
tt0255557,,728378
tt0477694,,1479193
tt0021745,,162620
tt0369284,,16824
tt0371950,,1598359
tt0416533,,1401166
tt1894578,,348579
tt21405788,,1693574
tt5311162,,643034
tt6065378,,1079058
tt0174762,195814,189957
tt2204694,,212200
tt1236480,,191134
tt10214916,148437,596280
tt1152712,144795,69915
tt0380487,258700,450051
tt8822398,,542434
tt3090880,161057,218026
tt0045673,33768,1564
tt0800225,,49149
tt3410358,,845320
tt3748128,,489439
tt13817596,,1058158
tt0135785,,192016
tt0140595,,232963
tt28912758,,1172675
tt0224663,,1207111
