imdbId,tvdbId,tmdbId,tvmazeId
tt2386739,,318805,
tt0086333,,261323,
tt0066709,146721,69490,
tt0399964,,201814,
tt0991156,185131,282291,
tt0080942,,318699,
tt0098836,,303921,
tt0063898,376269,305898,
tt1094661,263362,316191,
tt0102865,,237196,
tt0218505,,47029,
tt0491587,,315086,
tt0065354,254012,229916,
tt0211191,295329,279699,35766
tt0143150,,214982,50079
tt0173542,,253497,
tt0077521,,318715,
tt0079161,,318703,
tt1127846,,223056,
tt0103623,386283,316168,50213
tt0482942,,304436,50487
tt2202218,,195866,
tt0297546,268985,104908,
tt1087885,264519,215618,
tt0137320,,233188,
tt0364871,,253928,53200
tt0087743,,236374,
tt1706166,,92442,
tt1175323,288318,223292,
tt0105957,,40306,36171
tt1680043,,287288,
tt0077230,277381,279685,
tt4842444,,304693,51196
tt3337244,,314345,
tt1130744,,129624,
tt0107530,,204757,
tt0083456,318516,313626,
tt1087897,311069,136454,
tt2557098,,318756,
tt4923520,,261462,49481
tt0106575,254230,132531,
tt0238768,,318131,
tt0405331,,309366,
tt2248925,,257026,
tt0343727,,56601,
tt1230545,84652,299128,
tt1715042,323804,272601,
tt0065340,265421,35959,
tt0098352,,210906,45045
tt0158431,,318728,
tt0057131,,318806,
tt0136757,,305086,
tt0113931,,204652,
tt1456655,,317235,
tt0097015,,304060,
tt1741549,323399,79760,
tt0853153,,254195,
tt2251253,,221033,
tt2122876,,221033,
tt2122877,,221033,
tt0233115,164821,47621,
tt0106859,,303668,
tt0484387,,131535,
tt0283474,186851,241863,18800
tt5263734,,278170,43304
tt0057826,,304138,
tt0361238,,308585,
tt3799850,,215599,
tt6110430,319605,114264,23559
tt7520722,,75910,34647
tt0089008,,72741,
tt9452652,,322810,
tt0230821,,322684,
tt6877082,,299921,
tt4779404,,204813,
tt11133494,,322904,
tt10753470,372762,121203,54417
tt0197449,,322306,
tt0855825,384990,318802,
tt14191912,,132928,
tt13612556,,139204,
tt17074544,336610,135263,
tt0320108,,321905,
tt21038578,,206381,
tt16478146,,291321,
tt22213478,,224989,
tt32623135,,256110,82545
tt34769125,,290962,
tt35696486,,282114,
tt33056941,,287119,
tt0084287,,32654,
tt0780517,276325,74269,
tt0113483,,78944,
tt0259127,250715,16072,6034
tt1266150,273575,80780,
tt3704852,,34853,
tt1391140,157531,43763,23359
tt0069570,150681,75178,48331
tt0085037,86781,13269,23667
tt0462520,88991,128780,16706
tt0493327,132571,5902,33190
tt0154064,216771,67258,
tt0270621,,79009,
tt0284717,,303666,
tt0103510,134591,64587,
tt0264249,262468,126561,
tt0302739,250468,46999,45311
tt0407384,78984,13278,1018
tt0382737,90311,77961,
tt0340477,102281,5905,
tt0278017,,80596,
tt0452611,,49127,
tt0072575,,200977,
tt2222193,,300820,50431
tt0433367,116891,5182,
tt0250581,332269,75577,
tt0166223,,71729,
tt0832453,110491,133901,49373
tt0145012,,50229,
tt0363234,,136321,
tt0091384,,19371,50692
tt0778655,272510,77251,
tt0408056,,48761,
tt0208375,,231863,
tt0167702,,96182,
tt0089111,,48138,
tt0204394,,318693,
tt0675406,,318693,
tt0109479,,5879,
tt1001555,,303610,
tt0167187,185751,286423,13510
tt0093600,,313532,
tt1738398,,101883,
tt1331063,,96464,
tt0088948,,44706,
tt0096169,,47532,
tt0102300,,47537,
tt42287797,,279635,
tt0089540,,47249,
tt2582752,,94939,
tt0083730,,279657,
tt0092518,,9153,
tt0082030,,50083,
tt0078575,,49651,50767
tt0252287,,49252,
tt0307734,,237836,
tt0097127,,17139,50686
tt0443484,,64934,
tt0180691,281131,17131,
tt0101877,,43445,
tt0083957,,77136,
tt0116497,,111749,
tt1958246,,65233,
tt0230362,304447,43905,
tt1791530,,46781,
tt0490126,,7185,
tt0307093,,47911,
tt0110349,,15888,
tt1230962,,43472,
tt0488783,272670,212520,
tt1245829,135971,155517,20598
tt0442684,,7526,
tt0087769,277174,48564,
tt0142973,,49359,
tt0090285,292721,41320,
tt0313769,,49097,
tt0386620,,73828,
tt2141869,269245,64936,8335
tt0102007,,56334,
tt0086580,,19631,
tt2827412,273039,58168,
tt0106035,,75177,44930
tt0778618,,73308,
tt3624506,,232063,
tt0070073,,318745,
tt3490496,,74614,50825
tt2861610,279317,60750,2361
tt0212073,,43446,
tt5940506,,71424,
tt3285022,,74590,
tt8314840,,81590,50826
tt0099453,,43855,
tt0256089,,60140,
tt0082608,,49225,
tt5746112,,83717,
tt0061251,,85343,
tt0074518,,55068,
tt15662542,,153424,
tt1122769,,22060,
tt1049317,,47868,
tt0437714,288155,15026,
tt0991005,80863,17088,7389
tt0070904,271238,86449,
tt0953915,,20685,
tt0246430,265780,21276,37937
tt0461658,278860,29575,2895
tt0324937,139641,11203,27627
tt0107099,,74902,45043
tt0790816,,41961,
tt0095388,84018,47510,7843
tt0840303,,35434,
tt0092883,,41313,
tt0052443,216131,208197,
tt0375916,,124006,
tt0086732,249112,106400,
tt0103432,108391,108113,
tt1663896,293084,73051,
tt0169432,,77257,44768
tt0078634,287742,106634,
tt0106112,80306,5742,8426
tt1375710,208401,39245,
tt1714046,,41351,
tt0791274,81087,58950,
tt0445134,,80218,
tt0101136,,56333,
tt1642620,,113707,55567
tt0119189,,18898,
tt0135731,201031,60680,
tt0086813,191571,43035,13100
tt0077156,,49862,50787
tt1197580,84067,31760,5267
tt1043903,,13306,
tt1272026,,9400,
tt1884951,315571,55859,
tt0475410,,5883,
tt2357453,,58059,
tt0169621,,49244,
tt1177066,352012,137424,68948
tt0166085,264489,24131,61933
tt0136972,,48939,
tt0200656,,49358,
tt0276385,,73634,
tt0356294,,45251,
tt0084531,,90647,
tt0090552,261000,90757,
tt0096447,254443,75848,28615
tt1513083,125181,98612,
tt0849447,,16914,
tt0113196,,35204,
tt1800663,214281,38682,
tt0099148,,29289,28862
tt1922562,,33449,
tt0400299,,9261,
tt0271066,,5901,
tt0095077,137441,6082,31224
tt0118367,,25184,
tt0099974,,47227,
tt0488887,,60054,
